月份,全国-当月,全国-同比增长,全国-环比增长,全国-累计,城市-当月,城市-同比增长,城市-环比增长,城市-累计,农村-当月,农村-同比增长,农村-环比增长,农村-累计
2026年04月份,101.2,1.2,0.3,100.9,101.2,1.2,0.3,101.0,101.0,1.0,0.1,100.7
2026年03月份,101.0,1.0,-0.7,100.9,101.1,1.1,-0.7,100.9,100.9,0.9,-0.5,100.7
2026年02月份,101.3,1.3,1.0,100.8,101.4,1.4,1.0,100.8,100.9,0.9,0.7,100.5
2026年01月份,100.2,0.2,0.2,100.2,100.2,0.2,0.2,100.2,100.1,0.1,0.2,100.1
2025年12月份,100.8,0.8,0.2,100.0,100.9,0.9,0.2,100.1,100.6,0.6,0.2,99.8
2025年11月份,100.7,0.7,-0.1,100.0,100.7,0.7,-0.1,100.0,100.4,0.4,0.0,99.7
2025年10月份,100.2,0.2,0.2,99.9,100.3,0.3,0.2,100.0,99.8,-0.2,0.1,99.7
2025年09月份,99.7,-0.3,0.1,99.9,99.8,-0.2,0.0,99.9,99.5,-0.5,0.2,99.7
2025年08月份,99.6,-0.4,0.0,99.9,99.7,-0.3,0.0,100.0,99.4,-0.6,0.1,99.7
2025年07月份,100.0,0.0,0.4,99.9,100.0,0.0,0.4,100.0,99.7,-0.3,0.3,99.7
2025年06月份,100.1,0.1,-0.1,99.9,100.1,0.1,-0.1,100.0,99.8,-0.2,0.0,99.7
2025年05月份,99.9,-0.1,-0.2,99.9,100.0,0.0,-0.2,100.0,99.6,-0.4,-0.2,99.7
2025年04月份,99.9,-0.1,0.1,99.9,100.0,0.0,0.2,100.0,99.7,-0.3,0.0,99.7
2025年03月份,99.9,-0.1,-0.4,99.9,99.9,-0.1,-0.4,99.9,99.7,-0.3,-0.3,99.8
2025年02月份,99.3,-0.7,-0.2,99.9,99.3,-0.7,-0.2,99.9,99.3,-0.7,-0.1,99.8
2025年01月份,100.5,0.5,0.7,100.5,100.6,0.6,0.8,100.6,100.3,0.3,0.5,100.3
2024年12月份,100.1,0.1,0.0,100.2,100.1,0.1,0.0,100.2,100.0,0.0,-0.1,100.3
2024年11月份,100.2,0.2,-0.6,100.3,100.1,0.1,-0.6,100.2,100.2,0.2,-0.6,100.3
2024年10月份,100.3,0.3,-0.3,100.3,100.2,0.2,-0.3,100.2,100.3,0.3,-0.3,100.3
2024年09月份,100.4,0.4,0.0,100.3,100.4,0.4,-0.1,100.2,100.6,0.6,0.1,100.3
2024年08月份,100.6,0.6,0.4,100.2,100.6,0.6,0.3,100.2,100.8,0.8,0.4,100.3
2024年07月份,100.5,0.5,0.5,100.2,100.5,0.5,0.6,100.2,100.7,0.7,0.4,100.2
2024年06月份,100.2,0.2,-0.2,100.1,100.2,0.2,-0.2,100.1,100.4,0.4,-0.2,100.2
2024年05月份,100.3,0.3,-0.1,100.1,100.3,0.3,-0.1,100.1,100.4,0.4,-0.1,100.1
2024年04月份,100.3,0.3,0.1,100.1,100.3,0.3,0.1,100.1,100.4,0.4,0.0,100.0
2024年03月份,100.1,0.1,-1.0,100.0,100.0,0.0,-1.0,100.0,100.1,0.1,-0.7,99.9
2024年02月份,100.7,0.7,1.0,100.0,100.8,0.8,1.1,100.0,100.5,0.5,0.9,99.8
2024年01月份,99.2,-0.8,0.3,99.2,99.2,-0.8,0.3,99.2,99.2,-0.8,0.2,99.2
2023年12月份,99.7,-0.3,0.1,100.2,99.7,-0.3,0.1,100.3,99.5,-0.5,0.1,100.1
2023年11月份,99.5,-0.5,-0.5,100.3,99.6,-0.4,-0.5,100.3,99.2,-0.8,-0.4,100.1
2023年10月份,99.8,-0.2,-0.1,100.4,99.9,-0.1,-0.1,100.4,99.5,-0.5,-0.1,100.2
2023年09月份,100.0,0.0,0.2,100.4,100.1,0.1,0.2,100.5,99.7,-0.3,0.3,100.3
2023年08月份,100.1,0.1,0.3,100.5,100.2,0.2,0.2,100.5,99.8,-0.2,0.4,100.3
2023年07月份,99.7,-0.3,0.2,100.5,99.8,-0.2,0.3,100.6,99.4,-0.6,0.0,100.4
2023年06月份,100.0,0.0,-0.2,100.7,100.0,0.0,-0.2,100.7,99.9,-0.1,-0.2,100.6
2023年05月份,100.2,0.2,-0.2,100.8,100.2,0.2,-0.2,100.8,100.1,0.1,-0.2,100.8
2023年04月份,100.1,0.1,-0.1,101.0,100.2,0.2,-0.1,101.0,100.1,0.1,-0.2,100.9
2023年03月份,100.7,0.7,-0.3,101.3,100.7,0.7,-0.3,101.3,100.6,0.6,-0.3,101.2
2023年02月份,101.0,1.0,-0.5,101.5,101.0,1.0,-0.5,101.6,101.0,1.0,-0.5,101.5
2023年01月份,102.1,2.1,0.8,102.1,102.1,2.1,0.8,102.1,102.1,2.1,0.5,102.1
2022年12月份,101.8,1.8,0.0,102.0,101.8,1.8,0.0,102.0,101.8,1.8,-0.2,102.0
2022年11月份,101.6,1.6,-0.2,102.0,101.5,1.5,-0.2,102.0,101.7,1.7,-0.2,102.0
2022年10月份,102.1,2.1,0.1,102.0,102.0,2.0,0.0,102.0,102.5,2.5,0.1,102.0
2022年09月份,102.8,2.8,0.3,102.0,102.7,2.7,0.3,102.0,103.1,3.1,0.4,102.0
2022年08月份,102.5,2.5,-0.1,101.9,102.4,2.4,-0.1,101.9,102.7,2.7,-0.1,101.8
2022年07月份,102.7,2.7,0.5,101.8,102.6,2.6,0.4,101.9,103.0,3.0,0.5,101.7
2022年06月份,102.5,2.5,0.0,101.7,102.5,2.5,0.0,101.7,102.6,2.6,0.0,101.5
2022年05月份,102.1,2.1,-0.2,101.5,102.1,2.1,-0.2,101.6,102.1,2.1,-0.1,101.2
2022年04月份,102.1,2.1,0.4,101.4,102.2,2.2,0.4,101.5,102.0,2.0,0.3,101.0
2022年03月份,101.5,1.5,0.0,101.1,101.6,1.6,0.0,101.2,101.2,1.2,0.0,100.7
2022年02月份,100.9,0.9,0.6,100.9,101.0,1.0,0.6,101.1,100.5,0.5,0.6,100.5
2022年01月份,100.9,0.9,0.4,100.9,101.1,1.1,0.5,101.1,100.4,0.4,0.3,100.4
2021年12月份,101.5,1.5,-0.3,100.9,101.6,1.6,-0.3,101.0,101.2,1.2,-0.3,100.7
2021年11月份,102.3,2.3,0.4,100.9,102.4,2.4,0.3,100.9,102.2,2.2,0.6,100.6
2021年10月份,101.5,1.5,0.7,100.7,101.6,1.6,0.7,100.8,101.2,1.2,0.7,100.5
2021年09月份,100.7,0.7,0.0,100.6,100.8,0.8,0.0,100.7,100.2,0.2,0.1,100.4
2021年08月份,100.8,0.8,0.1,100.6,101.0,1.0,0.1,100.7,100.3,0.3,0.2,100.4
2021年07月份,101.0,1.0,0.3,100.6,101.2,1.2,0.3,100.6,100.4,0.4,0.2,100.4
2021年06月份,101.1,1.1,-0.4,100.5,101.2,1.2,-0.4,100.6,100.7,0.7,-0.5,100.4
2021年05月份,101.3,1.3,-0.2,100.4,101.4,1.4,-0.1,100.4,101.1,1.1,-0.3,100.4
2021年04月份,100.9,0.9,-0.3,100.2,101.0,1.0,-0.2,100.2,100.7,0.7,-0.5,100.2
2021年03月份,100.4,0.4,-0.5,100.0,100.5,0.5,-0.5,99.9,100.4,0.4,-0.6,100.0
2021年02月份,99.8,-0.2,0.6,99.7,99.8,-0.2,0.6,99.7,99.9,-0.1,0.4,99.9
